timestamp,event_type,resource_id,project_id,actor,metadata
2025-06-30 22:00:00,DEPLOYMENT,backend_service,Project_X,alice,{}
2025-06-30 23:00:00,CONFIG_CHANGE,autoscaler,Project_X,alice,{'max_nodes': 20}
2025-07-01 00:00:00,CPU_SPIKE,vm_0,Project_X,system,{'cpu': 86.47}
2025-07-01 00:00:00,CPU_SPIKE,vm_0,Project_X,system,{'cpu': 94.53}
2025-07-01 00:01:00,MEMORY_SURGE,vm_1,Project_X,system,{'memory': 81.97}
2025-07-01 00:02:00,CPU_SPIKE,vm_2,Project_X,system,{'cpu': 83.72}
2025-07-01 00:03:00,CPU_SPIKE,vm_3,Project_X,system,{'cpu': 87.81}
2025-07-01 00:03:00,MEMORY_SURGE,vm_3,Project_X,system,{'memory': 78.29}
2025-07-01 00:04:00,MEMORY_SURGE,vm_4,Project_X,system,{'memory': 88.57}
2025-07-01 00:04:00,MEMORY_SURGE,vm_4,Project_X,system,{'memory': 79.58}
2025-07-01 00:05:00,MEMORY_SURGE,vm_5,Project_X,system,{'memory': 80.66}
2025-07-01 00:05:00,RESOURCE_SCALE,autoscaler,Project_X,system,{'trigger': 'CPU_SPIKE'}
2025-07-01 00:05:00,MEMORY_SURGE,vm_5,Project_X,system,{'memory': 80.89}
2025-07-01 00:05:00,RESOURCE_SCALE,autoscaler,Project_X,system,{'trigger': 'CPU_SPIKE'}
2025-07-01 00:06:00,MEMORY_SURGE,vm_6,Project_X,system,{'memory': 86.45}
2025-07-01 00:06:00,RESOURCE_SCALE,autoscaler,Project_X,system,{'trigger': 'MEMORY_SURGE'}
2025-07-01 00:06:00,MEMORY_SURGE,vm_6,Project_X,system,{'memory': 84.52}
2025-07-01 00:06:00,MEMORY_SURGE,vm_6,Project_X,system,{'memory': 79.7}
2025-07-01 00:07:00,CPU_SPIKE,vm_7,Project_X,system,{'cpu': 81.92}
2025-07-01 00:07:00,RESOURCE_SCALE,autoscaler,Project_X,system,{'trigger': 'CPU_SPIKE'}
2025-07-01 00:07:00,CPU_SPIKE,vm_7,Project_X,system,{'cpu': 82.15}
2025-07-01 00:08:00,RESOURCE_SCALE,autoscaler,Project_X,system,{'trigger': 'MEMORY_SURGE'}
2025-07-01 00:08:00,RESOURCE_SCALE,autoscaler,Project_X,system,{'trigger': 'CPU_SPIKE'}
2025-07-01 00:08:00,CPU_SPIKE,vm_8,Project_X,system,{'cpu': 86.09}
2025-07-01 00:09:00,RESOURCE_SCALE,autoscaler,Project_X,system,{'trigger': 'MEMORY_SURGE'}
2025-07-01 00:09:00,RESOURCE_SCALE,autoscaler,Project_X,system,{'trigger': 'MEMORY_SURGE'}
2025-07-01 00:09:00,CPU_SPIKE,vm_9,Project_X,system,{'cpu': 83.16}
